"id","Resort","Highest slope","Lowest point"
98,Breckenridge,3914,2926
15,Zermatt - Matterhorn,3899,1562
134,Cervinia,3899,1562
206,Loveland,3871,3245
218,Telluride,3815,2659
155,Snowmass,3813,2473
179,Taos,3795,2805
29,Arapahoe Basin,3790,3286
169,Copper Mountain,3767,2926
25,Crested Butte,3707,2774
79,Winter Park Resort,3676,2743
50,Valle Nevado,3670,2860
166,Keystone,3651,2835
197,Wolf Creek,3628,3139
388,La Parva,3574,2653
128,Saas-Fee,3573,1800
49,Les Deux alpes,3560,1280
